"","stock","sigR","startbio.1.","startbio.2.","interbio.1.","interbio.2.","finalbio.1.","finalbio.2.","min.yr.","max.yr.","res","max.ct.","ct.1.","ct.nyr.","length.r.","exp.mean.log.r...","sd.log.r..","min.r.","quantile.r..0.05.","quantile.r..0.25.","median.r.","quantile.r..0.75.","quantile.r..0.95.","max.r.","exp.mean.log.k...","sd.log.k..","min.k.","quantile.k..0.05.","quantile.k..0.25.","median.k.","quantile.k..0.75.","quantile.k..0.95.","max.k.","exp.mean.log.msy...","sd.log.msy..","min.msy.","quantile.msy..0.05.","quantile.msy..0.25.","median.msy.","quantile.msy..0.75.","quantile.msy..0.95.","max.msy."
"5%1064","17283",0,0.1337775,1,0.0929025,1,0.082995,1,1971,1980,0.5,11.289,11.289,0.027,108,0.400502378631194,0.746287281127323,0.07609969706468,0.10589641681782,0.223099931878416,0.439547988424936,0.812957384133475,1.02859631396577,1.09093407645427,32.4184952117057,0.184183571959144,21.7216921947554,22.9990266496098,27.9592742437002,33.1804608623123,37.7764119002465,41.1466211215579,42.3284685481885,3.24592111098302,0.673043893793434,0.720574224400282,1.01625532359608,1.96635133636647,3.52418518080192,5.59829593687921,8.11140984372891,10.6235449051207
"5%1065","17286",0,0.15,1,0.15,1,0.15,1,1960,1987,0.188406553,30.075,11.8,8.668,101,0.175069073043553,0.661794139994649,0.0303736661974732,0.0482489037323694,0.112763677773833,0.191106402676216,0.307942960820106,0.396230043862786,0.414464007657561,276.450253087019,0.277373094396561,151.753320517834,166.136095160809,227.235086232308,284.944088028032,349.748369743454,388.734157626486,393.230345312055,12.09947238765,0.575651434235848,2.84815564912068,4.42786614561834,8.30470216920179,13.2351042502225,17.328793954377,30.483702338752,40.354493926779
"5%1066","17288",0,0.15,1,0.0745995,0.9200605,0.034494,0.425426,1954,1987,0.5,0.429,0.4,0.161,56,0.130913358555982,0.349537769905293,0.0752421336527112,0.0828805637957711,0.0988203270694853,0.127814671481881,0.158073021607231,0.25269713606224,0.372460727411665,8.34405421520245,0.351386687601274,3.20479083156295,4.59527825266457,6.79227636509593,8.49393603336794,10.3654957937643,13.9771726130249,14.3588608205744,0.273087040321338,0.338926426729918,0.14065180058189,0.148027799754045,0.234309118211393,0.272237365021231,0.334669718657132,0.459771348368544,0.675016594684951
"5%1067","17293",0,0.071475,0.881525,0.0442575,0.5458425,0.039753,0.490287,1967,1987,0.188406553,38.127,7.015,0.028,116,0.0953313706272695,0.606393145023426,0.0283130272525113,0.0332392118478826,0.0594699368535984,0.0987804351037225,0.150511328288232,0.235690422153273,0.279034782668144,164.363782251126,0.189820251977887,100.665505205869,119.217343983062,143.279691742501,163.935172265978,193.602901152423,215.163137538568,225.481312514277,3.91725616087048,0.56001108112262,1.13077888732949,1.51683243344736,2.45265172314106,4.25323424231507,6.2200774227454,8.93011322257376,11.4317832687775
"5%1068","17333",0,0.01041675,0.12847325,0.00891075,0.10989925,0.01873425,0.23105575,1967,1976,0.340403868,6,2.4,4.708,48,0.18733406009574,0.501810562364278,0.0812373300141295,0.0991941087865978,0.130200508784027,0.180289725769493,0.229473162076879,0.581455275252437,0.65395184338383,207.494535986571,0.318931521601219,85.28292311891,108.127002771285,187.208627611792,228.288805091806,263.581133972395,282.977042198469,288.54843576692,9.71769846851153,0.534242995616047,5.37643863931741,6.00925111118743,6.78186071422163,8.4993601691873,11.0059617490652,38.7285164806975,42.8625662484132
"5%1069","17345",0,0.033636,0.414844,0.033249,0.410071,0.0280995,0.3465605,1981,1990,0.188406553,182.98,23.441,9.956,113,0.115325775789004,0.753225948188492,0.0286316604872095,0.0339364718651941,0.0656731125559545,0.121941193583183,0.218509320353563,0.358617128509849,0.395710909109263,1239.89456232825,0.271872106380953,589.059902580254,766.267521841363,1046.28847733874,1269.66004256747,1533.39729424663,1822.43023681378,1880.5186280757,35.7479505742682,0.67211627261915,8.88721359902282,11.3462875295631,22.7357658738213,33.0889800414143,65.7254244877921,96.1796392238973,139.12543571174
"5%1070","17347",0,0.049821,0.614459,0.046695,0.575905,0.0371595,0.4583005,1975,1991,0.188406553,53.855,10.694,13.294,110,0.124923994438704,0.678251868318056,0.0282858308207549,0.0336663846218248,0.0836154810260731,0.145669326084577,0.204352802048277,0.30870468717607,0.360964326892012,292.061025706567,0.27481174402369,160.703329275057,178.806707993371,240.452068701726,306.786572007973,368.935492798823,424.140908103823,432.30513381548,9.12135748778238,0.551347668747289,2.37142670456155,3.12600928686328,7.19605272707376,9.89245520281971,13.0565106080087,21.0171707984803,26.299938630383
"5%1071","17364",0,0.15,1,0.15,1,0.15,1,1954,1987,0.5,133.15,77.9,92.149,110,0.401199083086449,0.688543133607025,0.0771155898462616,0.121378401385964,0.241373525336649,0.479106250443436,0.667490484212682,0.974121636265463,1.08182671097317,1228.31878082283,0.482060034040896,366.735530653849,484.819728015421,963.771801720312,1338.0713228672,1781.45661313189,2269.15897459655,2449.71959302305,123.200092150996,0.590660451688556,35.2201746480526,53.4578381143145,79.4483731479876,118.633883016519,184.859472685967,326.140442788623,490.482514620289
"5%1072","17397",0,0.15,1,0.061503,0.758537,0.06705525,0.82701475,1973,1987,0.340403868,44.203,38.88,5.313,84,0.280617711330446,0.574994098106863,0.0685428402250698,0.0884475419600881,0.206306176754117,0.319907169271036,0.449989863307627,0.566869846233472,0.621087074353599,162.732636798928,0.139046058125777,116.30318839084,122.44655871127,145.598923487655,169.865363302734,182.461553369017,192.883875044031,194.869452031777,11.416415024321,0.504474200490571,3.3104872143765,4.1290974155613,8.96456881012157,12.0846658013265,16.4951484293584,22.5412736639115,25.0268110808707
"5%1073","17400",0,0.02074275,0.25582725,0.028572,0.352388,0.03178425,0.39200575,1982,1991,0.188406553,7.06,0.354,1.755,97,0.1194673342187,0.721324028457947,0.0288430096785512,0.0329784411172102,0.0717620914800593,0.130762231366846,0.231106297053545,0.312431379975371,0.364654123358443,74.2632804323545,0.325125180459122,32.2352896720092,40.3096523021747,62.0426605802487,79.4117952631733,94.2839181053871,114.376649292965,119.671336877065,2.21800903589728,0.594395330864848,0.641087864369368,0.848155759465646,1.46637766638111,2.21691435257335,3.28203911028851,6.00273770053585,8.17999285337677
