"","IdOrig","BvBmsy","FvFmsy","MSY","Catch"
"256","Lumped-Tuna-like fishes nei-FaoRegion61",0.680500246868032,1.47013848393492,48529.15181582,48550
"257","Lumped-Indian mackerel-FaoRegion57",1.48170742524588,0.927145752192976,48296.6898129202,66348
"258","Lumped-Carangids nei-FaoRegion57",0.368278272781448,3.44498039720361,48287.5762996497,61263
"259","FAJ-JMACKPJPN-1982-2009-ONO",0.114,1.67,48214.2857142857,26000
"260","5588-FAO-71-56",2.05839812655269,0.253017247994208,48196.0579687913,25101
"261","5046-FAO-21-45",0.788615736947419,2.88372314524034,48063.2439700298,109303
"262","AFSC-ALPLAICBSAI-1972-2010-STACHURA",1.69,0.177,48033.6093937981,13900
"263","Lumped-Amberjacks nei-FaoRegion61",0.334476006255312,7.03455882317769,47700.8893641142,112235
"264","Lumped-Pacific cod-FaoRegion61",0.443535605318261,6.70419278439748,47384.4680818178,140900
"265","DFO-QUE-COD3Pn4RS-1964-2012-CHING",0.0152,0.996,46842.8125,3580
"266","6660-FAO-61-31",0.391996295323011,2.57186179852614,46444.9950414208,46824
"267","5704-FAO-71-45",0.42234169914104,3.38009093092553,46320.5106401897,66125
"268","5478-FAO-57-33",0.512636787217635,2.37832507006161,46207.5279164666,56337
"269","Lumped-Frigate and bullet tunas-FaoRegion57",1.63675221263217,0.898911993653333,45699.8395346781,67238
"270","8891-FAO-77-57",1.46428867593827,0.3524567143306,44869.3526213881,23157
"271","12264-FAO-61-33",1.39108436040919,1.06541867630092,44784.1378074402,66374
"272","5601-FAO-71-33",2.02562419948803,0.352534125345042,44712.1215258016,31929
"273","2930-FAO-27-54",0.404259946319712,2.19514788241551,44428.149084276,39426
"274","5747-FAO-71-33",0.550913324506426,4.09437745209096,43764.3815232803,98717
"275","SEFSC-BRNSHRIMPGM-1984-2011-HIVELY",2.23,0.159,43359.78484,20500
"276","Lumped-Yellowstripe scad-FaoRegion57",1.49406790489121,1.0337009911739,43243.4329643603,66786
"277","AFSC-WPOLLAI-1976-2013-CHING",0.958,0.0206,43212.4374834588,961
"278","17565-FAO-31-35",0.882210527516746,0.825364005603573,43162.7738908382,41905
"279","HAWG-HERRVIa-1956-2010-NEUBAUER",1.78,1.06,43046.4574884142,19900
"280","8804-FAO-31-53",1.47032713932603,0.676287512650162,42727.8189510068,42487
"281","13455-FAO-47-35",1.44205031342204,0.837342998128671,42663.0603421421,68687
"282","8717-FAO-34-57",1.51555383515602,0.391910688451952,42472.4321570042,25227
"283","5650-FAO-57-34",0.92842635086011,0.699861924294486,41662.4182112568,27071
"284","15035-FAO-71-33",0.648302841116781,1.26797111528753,41573.9450858977,34175
"285","DFO-MAR-COD4VsW-1958-2002-PREFONTAINE",0.0691,0.0204,41275.11761,83
"286","Lumped-Capelin-FaoRegion21",0.376807322798436,2.06748468640875,40877.0567110303,31845
"287","DFO-SG-COD4TVn-1930-2011-CHING",0.0276,0.0426,40721.7625,158
"288","5492-FAO-57-34",0.92842635086011,0.699861924294486,40683.610705721,26435
"289","16844-FAO-67-23",1.21520287723495,1.37863840848737,40598.0841674756,68015
"290","DFO-POLL4VWX5-1974-2008-CHING",0.565,0.24,40135.22961,5450
"291","5532-FAO-57-33",0.569678884191008,2.69735736577859,39857.4141285767,61246
"292","12419-FAO-61-42",0.437,1.65,39124.887317107,28211
"293","Lumped-Jacks, crevalles nei-FaoRegion57",0.351653840251322,3.48234881869414,38853.2787760301,47579
"294","Lumped-Torpedo scad-FaoRegion71",0.975057920193663,1.33038636079646,38731.7718513171,50243
"295","Lumped-Mediterranean horse mackerel-FaoRegion37",0.411032436138089,1.8521610139471,38573.5811923201,29366
"296","NEFSC-BUTTERGOMCHATT-1965-2012-HIVELY",1.74,0.0247,37993.4007695314,1710
"297","DFO-NFLD-COD3Ps-1959-2011-CHING",0.779,0.146,37840.87448,4320
"298","NEFSC-SDOGATLC-1962-2006-SOSEBEE",2.2,0.0946,37359.19365,7770
"299","10379-FAO-77-35",0.564793139746183,1.5072789403712,37121.1325148105,42135
"300","CBP-BCRABCHESB-1990-2010-HIVELY",1.27,0.568,36899.3561589031,24400
"301","IOTC-SWORDIO-1950-2010-CHING",1.59,0.43,36417,20800
"302","15088-FAO-57-33",0.821868384664406,0.340667742740017,36366.3576312729,10182
"303","NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE",0.299,2.21,36249.68694,24000
"304","14953-FAO-57-35",0.600237537959694,1.44219147713669,36051.2112329232,31208
"305","Lumped-Blue grenadier-FaoRegion81",0.462900887818925,0.600974877902264,35802.6363017666,9960
"306","2038-FAO-61-33",1.45591834499222,0.810070457210035,35744.5542415441,42157
"307","5571-FAO-57-35",0.778346271475235,0.531875186844398,35622.833684773,19663
"308","13104-FAO-34-35",1.71665854470501,1.03885250353778,35494.8953212753,84400
"309","5533-FAO-51-33",0.569678884191008,2.69735736577859,35442.5511587784,54462
