Year,Species,Average US Price (USD/t),Average Price (2005 USD/t)
1970,"TUNA, SKIPJACK",348.3109261,1432.058212
1970,"TUNA, YELLOWFIN",398.1868196,1637.119775
1971,"TUNA, ALBACORE",670.604467,2626.207827
1971,"TUNA, BLUEFIN",382.9616575,1499.746798
1971,"TUNA, BLUEFIN PACIFIC",452.1791693,1770.815036
1971,"TUNA, LITTLE TUNNY",177.7777778,696.2097845
1971,"TUNA, SKIPJACK",405.0264597,1586.156536
1971,"TUNA, YELLOWFIN",459.6280703,1799.986274
1971,TUNAS,176.3527054,690.6289445
1972,"TUNA, ALBACORE",737.1150255,2767.821791
1972,"TUNA, BLUEFIN",374.2859283,1405.420745
1972,"TUNA, BLUEFIN PACIFIC",470.70362,1767.463275
1972,"TUNA, LITTLE TUNNY",213.1111111,800.2191746
1972,"TUNA, SKIPJACK",434.2405746,1630.546771
1972,"TUNA, YELLOWFIN",485.9929576,1824.873801
1973,"TUNA, ALBACORE",897.0320395,3191.463512
1973,"TUNA, BLUEFIN",715.4302261,2545.359989
1973,"TUNA, BLUEFIN PACIFIC",515.8418733,1835.263897
1973,"TUNA, LITTLE TUNNY",235.4098361,837.5418815
1973,"TUNA, SKIPJACK",496.613114,1766.851754
1973,"TUNA, YELLOWFIN",530.1633661,1886.216951
1973,TUNAS,450,1601.011466
1974,"TUNA, ALBACORE",846.0775998,2759.560185
1974,"TUNA, BIGEYE",633.3712984,2065.798951
1974,"TUNA, BLACK SKIPJACK",179.9514029,586.9281102
1974,"TUNA, BLUEFIN",909.5601873,2966.614504
1974,"TUNA, BLUEFIN PACIFIC",625.8329534,2041.211943
1974,"TUNA, LITTLE TUNNY",333.0769231,1086.361128
1974,"TUNA, SKIPJACK",597.0243649,1947.250072
1974,"TUNA, YELLOWFIN",634.0941933,2068.156739
1974,TUNAS,498,1624.272966
1975,"TUNA, ALBACORE",730.0273239,2175.107283
1975,"TUNA, BIGEYE",550.9834191,1641.648207
1975,"TUNA, BLUEFIN",806.7728257,2403.769546
1975,"TUNA, BLUEFIN PACIFIC",540.9928313,1611.881376
1975,"TUNA, LITTLE TUNNY",224.7826087,669.7369718
1975,"TUNA, SKIPJACK",507.6642502,1512.579285
1975,"TUNA, YELLOWFIN",578.6749264,1724.154707
1975,TUNAS,1021.666667,3044.043058
1976,"TUNA, ALBACORE",1009.871637,2846.35204
1976,"TUNA, BIGEYE",643.0085349,1812.337913
1976,"TUNA, BLUEFIN",903.983899,2547.904428
1976,"TUNA, BLUEFIN PACIFIC",658.9149233,1857.170523
1976,"TUNA, LITTLE TUNNY",230.5454545,649.7989457
1976,"TUNA, SKIPJACK",589.3795192,1661.183002
1976,"TUNA, YELLOWFIN",651.8990927,1837.396204
1976,TUNAS,225.1168899,634.4983814
1977,"TUNA, ALBACORE",1176.56766,3117.58877
1977,"TUNA, BIGEYE",883.1628275,2340.14465
1977,"TUNA, BLUEFIN",1067.596483,2828.844377
1977,"TUNA, BLUEFIN PACIFIC",893.3593725,2367.162759
1977,"TUNA, LITTLE TUNNY",392.3584906,1039.644779
1977,"TUNA, SKIPJACK",764.4541025,2025.598363
1977,"TUNA, YELLOWFIN",855.3704162,2266.502213
1977,TUNAS,1920,5087.485101
1978,"TUNA, ALBACORE",1387.166415,3434.821515
1978,"TUNA, BIGEYE",925.945604,2292.773129
1978,"TUNA, BLACK SKIPJACK",221.3906916,548.1948686
1978,"TUNA, BLUEFIN",1714.107755,4244.374813
1978,"TUNA, BLUEFIN PACIFIC",937.3235677,2320.946586
1978,"TUNA, LITTLE TUNNY",485.5732484,1202.348487
1978,"TUNA, SKIPJACK",847.1478404,2097.658649
1978,"TUNA, YELLOWFIN",918.0394336,2273.196325
1978,TUNAS,3142.9,7782.267808
