SpecCode,Genus,Species,,,Sex,tm (y),AgeMatMin,AgeMatMax,Locality,Country,Comment
3811,Anarhichas,minor,Anarhichas minor,2457,female,7.5,,,"Northern Bear Island, Finmark",Norway,
3811,Anarhichas,minor,Anarhichas minor,2457,male,8.5,,,"Northern Bear Island, Finmark",Norway,
3568,Anisotremus,davidsonii,Anisotremus davidsonii,#N/A,unsexed,2,,,California Current Region,,
3776,Anoplarchus,purpurescens,Anoplarchus purpurescens,#N/A,unsexed,,2,3,southern British Columbia,Can Br Colum,
3776,Anoplarchus,purpurescens,Anoplarchus purpurescens,#N/A,unsexed,2.5,,,California Current Region,,
512,Anoplopoma,fimbria,Anoplopoma fimbria,3341,female,6,,,Bering Sea and Aleutian Islands,Alaska,
512,Anoplopoma,fimbria,Anoplopoma fimbria,3341,unsexed,,5,6,Bering Sea,Russian Fed,
39,Aphia,minuta,Aphia minuta,10451,female,,0.419999987,0.5,"Alcudia Bay, Majorca (1985-1993)",Spain,"At 7-8 months of age, at around 3.8-4.5 cm TL, all individuals have already reproduced (Ref. 57814)."
39,Aphia,minuta,Aphia minuta,10451,male,,0.419999987,0.5,"Alcudia Bay, Majorca (1985-1993)",Spain,"At 7-8 months of age, at around 3.8-4.5 cm TL, all individuals have already reproduced (Ref. 57814)."
39,Aphia,minuta,Aphia minuta,10451,unsexed,1,,,eastern Atlantic,,
8231,Apogon,lineatus,Apogon lineatus,#N/A,female,1,,,"Niigata Prefecture, Osaka Bay and Tokyo Bay, 1999-2001",Japan,
8231,Apogon,lineatus,Apogon lineatus,#N/A,male,1,,,"Niigata Prefecture, 1999-2001",Japan,
8231,Apogon,lineatus,Apogon lineatus,#N/A,male,1,,,"Osaka and Tokyo Bays, 1999-2000",Japan,
59183,Apogon,rubrimacula,Apogon rubrimacula,#N/A,unsexed,0.400000006,,,Koro Island (12 Nov 2005),Fiji,
84,Aprion,virescens,Aprion virescens,10484,female,,4,5,1984-86,Hawaii,
84,Aprion,virescens,Aprion virescens,10484,female,,4,5,Hawaii,Hawaii,No specific area.
1219,Archosargus,rhomboidalis,Archosargus rhomboidalis,18788,unsexed,0.419999987,,,"Terminos Lagoon, southern Gulf of Mexico, 1980-81",Mexico,
463,Arctoscopus,japonicus,Arctoscopus japonicus,3230,unsexed,,2,3,Peter the Great Bay,Russian Fed,
2700,Argentina,silus,Argentina silus,10536,female,6,,,"Norwegian waters, 1981-83",Norway,
2700,Argentina,silus,Argentina silus,10536,male,7,,,"Norwegian waters, 1981-83",Norway,
2700,Argentina,silus,Argentina silus,10536,unsexed,,5,6,"north-eastern North Sea and Skagerrak ,1984-87",Denmark,Range refers to median age at maturity.
2700,Argentina,silus,Argentina silus,10536,unsexed,,6,7,Nova Scotia,Canada,
2700,Argentina,silus,Argentina silus,10536,unsexed,,8,9,Iceland,Iceland,Range refers to median age at maturity.
