ISSCAAP_species,Species_AFSIS,CommName,best_fit_AgCommodity_0711,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,yrs_missing,Years,Wted_avg_sp_price,Five_yr_stock_price,New_Five_yr_stock_price
Horseshoe crabs and other arachnoids,Limulus polyphemus,Horseshoe crab,Crabs,2718.588803,2482.853014,2407.438478,2683.04733,2706.461503,2631.460052,2630.638541,3122.862655,3412.340796,3045.415008,3374.666338,4102.669511,0,2007-2011,888,888,3411.590861
"King crabs, squat-lobsters",Lithodes aequispina,Golden king crab,King crabs,4602.953095,4483.277523,4114.806209,4267.854197,4941.383579,5230.330433,5050.128181,5823.435077,6568.713401,6450.813952,7142.087842,8147.184007,0,2008-2012,8178,8178,7077.1998
"King crabs, squat-lobsters",Paralithodes camtschaticus,Red king crab,King crabs,4602.953095,4483.277523,4114.806209,4267.854197,4941.383579,5230.330433,5050.128181,5823.435077,6568.713401,6450.813952,7142.087842,8147.184007,0,2008-2012,11206,11206,7077.1998
"King crabs, squat-lobsters",Paralithodes platypus,Blue king crab,King crabs,4602.953095,4483.277523,4114.806209,4267.854197,4941.383579,5230.330433,5050.128181,5823.435077,6568.713401,6450.813952,7142.087842,8147.184007,0,2008-2012,11206,11206,7077.1998
"Lobsters, spiny-rock lobsters",Homarus americanus,American lobster,American/European lobsters (Homarus spp.),6262.809024,5744.857292,6353.211182,6983.733157,7537.640031,8702.16584,8495.077868,9045.204147,9552.995404,8094.883218,8686.982053,8611.484652,0,2005-2009; 2006-2010,9100,"8,579-10,179",8762.884755
"Lobsters, spiny-rock lobsters",Nephrops norvegicus,Norway lobster,Norway lobsters (Nephrops spp.),4082.322658,4129.541454,4589.622535,4531.482013,4705.60201,5559.081583,6159.338057,6654.219106,6417.225147,5322.865399,5514.308964,6950.00338,0,2007-2011,7896,"7,240-12,822",6171.724399
Miscellaneous coastal fishes,Lutjanus analis,Mutton snapper,Snappers,2427.96281,2420.670455,2309.110035,2309.726049,2450.074399,2444.662212,2654.34243,3062.378707,3238.583874,3370.937831,3355.752967,3977.842727,0,2007-2011,5119,5119,3401.099221
Miscellaneous coastal fishes,Ocyurus chrysurus,Yellowtail snapper,Snappers,2427.96281,2420.670455,2309.110035,2309.726049,2450.074399,2444.662212,2654.34243,3062.378707,3238.583874,3370.937831,3355.752967,3977.842727,0,2007-2011,5702,5702,3401.099221
Miscellaneous coastal fishes,Rhomboplites aurorubens,Vermilion snapper,Snappers,2427.96281,2420.670455,2309.110035,2309.726049,2450.074399,2444.662212,2654.34243,3062.378707,3238.583874,3370.937831,3355.752967,3977.842727,0,2007-2011,5609,"5,181-6,406",3401.099221
Miscellaneous coastal fishes,Micropogonias undulatus,Atlantic croaker,Croakers,1043.310344,1060.315746,1114.93505,943.4486428,1055.852688,1065.502966,1204.787675,1270.253429,1315.955572,1249.459187,1750.939899,1928.737023,0,2006-2010,1122,1122,1358.279152
Miscellaneous coastal fishes,Centropristis striata,Black seabass,Seabass,3311.22737,2557.216545,2960.156925,3711.151127,4142.161327,3724.569412,3609.173237,3771.841738,4199.6616,3786.974636,3727.856373,4811.237482,3,2006-2010,6425,"4,882-6,816",3819.101517
Miscellaneous coastal fishes,Epinephelus flavolimbatus,Yellowedge grouper,Grouper,4405.11835,3098.730281,3236.374731,3613.465841,3801.001248,2943.377802,2379.972497,3130.75181,3330.137094,3009.332051,3398.84669,3916.980392,0,2007-2011,6995,6995,3357.209607
Miscellaneous coastal fishes,Epinephelus morio,Red grouper,Grouper,4405.11835,3098.730281,3236.374731,3613.465841,3801.001248,2943.377802,2379.972497,3130.75181,3330.137094,3009.332051,3398.84669,3916.980392,0,2007-2011,5616,"5,553-6,370",3357.209607
Miscellaneous coastal fishes,Epinephelus niveatus,Snowy grouper,Grouper,4405.11835,3098.730281,3236.374731,3613.465841,3801.001248,2943.377802,2379.972497,3130.75181,3330.137094,3009.332051,3398.84669,3916.980392,0,2007-2011,7015,7015,3357.209607
