SciName,CommName,family,order
Rastrineobola argentea,Silver cyprinid,Cyprinidae,CYPRINIFORMES
Acanthobrama lissneri,,Cyprinidae,CYPRINIFORMES
Acanthobrama terraesanctae,Kinneret bleak,Cyprinidae,CYPRINIFORMES
Pimephales promelas,Fathead minnow,Cyprinidae,CYPRINIFORMES
Acrossocheilus hexagonolepis,Copper mahseer,Cyprinidae,CYPRINIFORMES
Hesperoleucus symmetricus,California roach,Cyprinidae,CYPRINIFORMES
Parabramis pekinensis,White amur bream,Cyprinidae,CYPRINIFORMES
Squaliobarbus curriculus,,Cyprinidae,CYPRINIFORMES
Culter alburnus,,Cyprinidae,CYPRINIFORMES
Zacco platypus,Freshwater minnow,Cyprinidae,CYPRINIFORMES
Zacco taliensis,,Cyprinidae,CYPRINIFORMES
Anaecypris hispanica,,Cyprinidae,CYPRINIFORMES
Garra dembeensis,,Cyprinidae,CYPRINIFORMES
Garra ghorensis,,Cyprinidae,CYPRINIFORMES
Garra gotyla,,Cyprinidae,CYPRINIFORMES
Garra lamta,,Cyprinidae,CYPRINIFORMES
Garra mullya,,Cyprinidae,CYPRINIFORMES
Garra rufa,,Cyprinidae,CYPRINIFORMES
Garra tibanica,,Cyprinidae,CYPRINIFORMES
Opsariichthys bidens,,Cyprinidae,CYPRINIFORMES
Pseudogobio esocinus,,Cyprinidae,CYPRINIFORMES
Rhinichthys atratulus,Blacknose dace,Cyprinidae,CYPRINIFORMES
Rhinichthys cataractae,Longnose dace,Cyprinidae,CYPRINIFORMES
Rhinichthys osculus,Speckled dace,Cyprinidae,CYPRINIFORMES
Nocomis biguttatus,Hornyhead chub,Cyprinidae,CYPRINIFORMES
Nocomis leptocephalus,Bluehead chub,Cyprinidae,CYPRINIFORMES
Nocomis micropogon,River chub,Cyprinidae,CYPRINIFORMES
Cyprinella alvarezdelvillari,,Cyprinidae,CYPRINIFORMES
Cyprinella analostana,Satinfin shiner,Cyprinidae,CYPRINIFORMES
Cyprinella callistia,Alabama shiner,Cyprinidae,CYPRINIFORMES
Cyprinella camura,Bluntface shiner,Cyprinidae,CYPRINIFORMES
Cyprinella lutrensis,Red shiner,Cyprinidae,CYPRINIFORMES
Cyprinella proserpina,Proserpine shiner,Cyprinidae,CYPRINIFORMES
Cyprinella spiloptera,Spotfin shiner,Cyprinidae,CYPRINIFORMES
Cyprinella venusta,Blacktail shiner,Cyprinidae,CYPRINIFORMES
Acheilognathus limbatus,Oily bitterling,Cyprinidae,CYPRINIFORMES
Acheilognathus melanogaster,,Cyprinidae,CYPRINIFORMES
Acheilognathus rhombeus,,Cyprinidae,CYPRINIFORMES
Acheilognathus tabira,,Cyprinidae,CYPRINIFORMES
Aphyocypris chinensis,Chinese bleak,Cyprinidae,CYPRINIFORMES
Hybognathus placitus,Plains minnow,Cyprinidae,CYPRINIFORMES
Chelaethiops bibie,,Cyprinidae,CYPRINIFORMES
Dionda diaboli,Devils River minnow,Cyprinidae,CYPRINIFORMES
Dionda episcopa,Roundnose minnow,Cyprinidae,CYPRINIFORMES
Aspiolucius esocinus,Pike asp,Cyprinidae,CYPRINIFORMES
Vimba vimba,Vimba bream,Cyprinidae,CYPRINIFORMES
Vimba melanops,Macedonian vimba,Cyprinidae,CYPRINIFORMES
Couesius plumbeus,Lake chub,Cyprinidae,CYPRINIFORMES
Semotilus atromaculatus,Creek chub,Cyprinidae,CYPRINIFORMES
Pelecus cultratus,Sichel,Cyprinidae,CYPRINIFORMES
Sarcocheilichthys nigripinnis,Rainbow gudgeon,Cyprinidae,CYPRINIFORMES
Typhlogarra widdowsoni,Iraq blind barb,Cyprinidae,CYPRINIFORMES
