SpecCode,Genus,Species,,,Sex,Data source,Type,Loo (cm),K (1/y),Locality,Country,LinfLmax,Comment
1889,Alepes,djedaba,Alepes djedaba,10268,unsexed,length-frequencies,FL,17,1.200000048,Ragay Gulf,Philippines,yes,
1889,Alepes,djedaba,Alepes djedaba,10268,unsexed,length-frequencies,TL,32.59999847,0.610000014,Kerala,India,no,
1903,Alepes,kleinii,Alepes kleinii,#N/A,unsexed,length-frequencies,TL,17.10000038,0.829999983,south-west coast,India,no,
1890,Alepes,melanoptera,Alepes melanoptera,#N/A,unsexed,length-frequencies,FL,25,0.850000024,Guimaras Strait,Philippines,no,
5071,Alepocephalus,rostratus,Alepocephalus rostratus,#N/A,unsexed,annuli on many otoliths,TL,21.70000076,0.861999989,"Barcelona-Majorca (40-24°N, 1-4°E)",Spain,yes,
5071,Alepocephalus,rostratus,Alepocephalus rostratus,#N/A,Female,annuli on many otoliths,TL,47.40000153,0.079999998,Catalan Sea (38°45'N to 42°00'N; >500 - 2209 m depths),Spain,no,
5071,Alepocephalus,rostratus,Alepocephalus rostratus,#N/A,Male,annuli on many otoliths,TL,40.79999924,0.100000001,Catalan Sea (38°45'N to 42°00'N; >500 - 2209 m depths),Spain,no,
11590,Alepocephalus,tenebrosus,Alepocephalus tenebrosus,#N/A,unsexed,annuli on few otoliths,TL,64,0.300000012,California current,USA,no,Very tentative estimates (from data on p. 18 in Ref. 4525). Do not use M value for new model to predict M. Do not use M value for new model to predict M.
12962,Allocyttus,niger,Allocyttus niger,2253,female,annuli on many otoliths,TL,39.90000153,0.043000001,Chatham Rise and Puysegur-Snares,New Zealand,no,t-zero too large (?)
12962,Allocyttus,niger,Allocyttus niger,2253,male,annuli on many otoliths,TL,37.20000076,0.056000002,Chatham Rise and Puysegur-Snares,New Zealand,no,t-zero too large (?)
5891,Alopias,pelagicus,Alopias pelagicus,2009,female,other annual rings,OT,197,0.085000001,Northeastern waters,Taiwan,no,Length type: precaudal length.
5891,Alopias,pelagicus,Alopias pelagicus,2009,male,other annual rings,OT,182,0.118000001,Northeastern waters,Taiwan,no,Length type: precaudal length.
2534,Alopias,superciliosus,Alopias superciliosus,2795,male,other annual rings,TL,385,0.088,Northeastern waters,Taiwan,no,age readings from vertebral bands (juveniles).
2534,Alopias,superciliosus,Alopias superciliosus,2795,female,other annual rings,TL,422,0.092,Northeastern waters,Taiwan,no,age readings from vertebral bands (juveniles).
2535,Alopias,vulpinus,Alopias vulpinus,2008,unsexed,other annual rings,TL,651,0.100000001,California,USA,no,Do not use M value for new model to predict M.
2535,Alopias,vulpinus,Alopias vulpinus,2008,Female,other annual rings,TL,464.2999878,0.123999998,California / Oregon,USA,no,Annual bands on vertebrae (n=129)
2535,Alopias,vulpinus,Alopias vulpinus,2008,Male,other annual rings,TL,416.2000122,0.188999996,California,USA,no,
101,Alosa,alosa,Alosa alosa,2890,female,,TL,91.59999847,0.192000002,Garonne River,France,no,
101,Alosa,alosa,Alosa alosa,2890,female,,TL,75.40000153,0.263999999,Adour River,France,no,Do not use M value for new model to predict M.
101,Alosa,alosa,Alosa alosa,2890,male,,TL,67,0.287999988,Loire River,France,no,
101,Alosa,alosa,Alosa alosa,2890,female,,TL,70.09999847,0.287999988,Loire River,France,no,
101,Alosa,alosa,Alosa alosa,2890,male,,TL,68.59999847,0.287999988,Garonne River,France,no,
101,Alosa,alosa,Alosa alosa,2890,male,,TL,61,0.384000003,Adour River,France,no,
101,Alosa,alosa,Alosa alosa,2890,female,scale annual rings,TL,68.59999847,0.527999997,Sebou River,Morocco,no,
101,Alosa,alosa,Alosa alosa,2890,male,scale annual rings,TL,60.09999847,0.575999975,Sebou River,Morocco,no,
1577,Alosa,caspia caspia,Alosa caspia caspia,#N/A,Mixed,scale annual rings,TL,24.10000038,0.300000012,Northeastern Caspian Sea,Former USSR,no,
5355,Alosa,fallax,Alosa fallax,2080,male,,TL,64.80000305,0.211999997,Adour River,France,no,
5355,Alosa,fallax,Alosa fallax,2080,unsexed,annuli on many otoliths,TL,65,0.219999999,Elbe River (May),Germany,no,
5355,Alosa,fallax,Alosa fallax,2080,female,scale annual rings,TL,54.90000153,0.226999998,Miliane and Medjerdah rivers,Tunisia,no,
5355,Alosa,fallax,Alosa fallax,2080,male,scale annual rings,TL,49.29999924,0.254999995,Miliane and Medjerdah rivers,Tunisia,no,
5355,Alosa,fallax,Alosa fallax,2080,female,,TL,65.90000153,0.294999987,Aude River,France,no,
5355,Alosa,fallax,Alosa fallax,2080,female,,TL,54.79999924,0.303000003,Adour River,France,no,
5355,Alosa,fallax,Alosa fallax,2080,male,,TL,56.90000153,0.349000007,Aude River,France,no,
5355,Alosa,fallax,Alosa fallax,2080,female,,TL,60,0.354000002,Rhône River,France,no,
5355,Alosa,fallax,Alosa fallax,2080,male,,TL,55.29999924,0.375,Rhône River,France,no,
5355,Alosa,fallax,Alosa fallax,2080,female,,TL,52.40000153,0.386999995,Loire River,France,no,
5355,Alosa,fallax,Alosa fallax,2080,female,,TL,50,0.405000001,Garonne River,France,no,
5355,Alosa,fallax,Alosa fallax,2080,female,scale annual rings,TL,38.40000153,0.430999994,Lake Ichkeul,Tunisia,no,
5355,Alosa,fallax,Alosa fallax,2080,male,,TL,44.90000153,0.504000008,Loire River,France,no,
5355,Alosa,fallax,Alosa fallax,2080,male,scale annual rings,TL,32.79999924,0.545000017,Lake Ichkeul,Tunisia,no,
5355,Alosa,fallax,Alosa fallax,2080,male,,TL,38.40000153,0.555000007,Garonne River,France,no,
105,Alosa,immaculata,Alosa immaculata,#N/A,female,,FL,42.59999847,0.225999996,Black Sea,Bulgaria,no,Do not use M value for new model to predict M.
105,Alosa,immaculata,Alosa immaculata,#N/A,male,,FL,38.59999847,0.319999993,Black Sea,Bulgaria,no,Do not use M value for new model to predict M.
1580,Alosa,kessleri,Alosa kessleri,#N/A,Mixed,scale annual rings,NG,35.20000076,0.469999999,Central and lower part,Russian Fed,no,Data combined fo different years and localities
1582,Alosa,mediocris,Alosa mediocris,2083,unsexed,,TL,61,0.300000012,eastern region,USA,no,Linf was set = to Lmax recorded for the study area.
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,unsexed,scale annual rings,TL,19.89999962,0.469999999,Lake Michigan,USA,yes,
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,male,,TL,19.39999962,0.483999997,Lake Michigan,USA,yes,
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,female,,TL,17.29999924,0.693000019,Lake Ontario,USA,yes,
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,male,,TL,16.79999924,0.694000006,Lake Ontario,USA,yes,
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,mixed,,TL,21.39999962,0.405000001,Lake Michigan,USA,no,
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,female,,TL,20.39999962,0.462000012,Lake Michigan,USA,no,
1584,Alosa,sapidissima,Alosa sapidissima,2889,unsexed,scales,FL,73.09999847,0.200000003,,Canada,no,
1584,Alosa,sapidissima,Alosa sapidissima,2889,male,scales,FL,46.29999924,0.469999999,St. Johns River,Canada,no,
1584,Alosa,sapidissima,Alosa sapidissima,2889,female,scales,FL,48.79999924,0.479999989,St. Johns River,Canada,no,
