Year,Species,Metric Tons,Pounds,Revenue
2005,"ROCKFISH, SQUARESPOT",0,87,232
2005,"ROCKFISH, STARRY",0.1,163,377
2005,"ROCKFISH, STRIPETAIL",0,110,37
2005,"ROCKFISH, TREEFISH",0.8,1771,13268
2005,"ROCKFISH, VERMILION",18,39712,84420
2005,"ROCKFISH, WIDOW",133.3,293917,129182
2005,"ROCKFISH, YELLOWEYE",3.7,8068,8484
2005,"ROCKFISH, YELLOWTAIL",828.7,1826942,851050
2005,ROCKFISHES,11442.1,25225322,7171191
2005,"ROSEFISH, BLACKBELLY",0.7,1536,2395
2005,"RUDDERFISH, BANDED",17.9,39387,24633
2005,"RUNNER, BLUE",158.5,349395,212533
2005,"RUNNER, RAINBOW",1.9,4265,6726
2005,SABLEFISH,23175.8,51093278,136239864
2005,SAILFISH,3.4,7420,8480
2005,"SALMON, CHINOOK",10794,23796431,48698577
2005,"SALMON, CHUM",36716.2,80944452,19895101
2005,"SALMON, COHO",16406,36168646,25966781
2005,"SALMON, PACIFIC",0.4,934,3651
2005,"SALMON, PINK",224355.6,494614341,49040872
2005,"SALMON, SOCKEYE",119855.8,264234052,187210745
2005,SAND PERCH,0.2,408,725
2005,SANDWORMS,199.1,438924,2251754
2005,"SARDINE, PACIFIC",86451.7,190591434,10198847
2005,"SARDINE, SPANISH",457.8,1009204,247211
2005,"SCAD, BIGEYE",253.3,558447,737871
2005,"SCAD, MACKEREL",69.9,154053,342416
2005,SCADS,474.4,1045943,1057490
2005,"SCALLOP, BAY",43.8,96503,1221802
2005,"SCALLOP, CALICO",0.4,896,7442
2005,"SCALLOP, SEA",25685.2,56625536,432514317
2005,"SCALLOP, WEATHERVANE",92.9,204732,1637853
2005,SCALLOPS,62.9,138744,1030025
2005,SCAMP,294.5,649299,1833736
2005,"SCORPIONFISH, SPINYCHEEK",0.2,457,423
2005,SCORPIONFISHES,8.5,18762,49396
2005,SCULPINS,201.1,443404,33286
2005,SCUP,159.9,352422,156918
2005,SCUPS OR PORGIES,4337,9561252,7194573
2005,"SEA BASS, BLACK",1524.5,3360979,7929257
2005,"SEA BASS, GIANT",2.8,6152,11308
2005,"SEA BASS, ROCK",0.1,166,42
2005,SEA CATFISHES,5,11038,4078
2005,SEA CHUBS,8.8,19436,19899
2005,SEA CUCUMBER,4538.3,10005206,3194951
2005,SEA RAVEN,0.3,601,318
2005,SEA URCHINS,7143.5,15748637,11805155
2005,"SEABASS, WHITE",139,306408,760176
2005,SEAROBINS,17.9,39537,2648
2005,"SEATROUT, SAND",33,72804,40035
2005,"SEATROUT, SPOTTED",120.7,266141,417030
2005,"SEAWEED, IRISH MOSS",1.5,3410,419
2005,"SEAWEED, KELP",65868.3,145213170,117887
2005,"SEAWEED, ROCKWEED",1946.3,4290809,79160
2005,SEAWEEDS,249.8,550741,178417
2005,"SHAD, AMERICAN",575.4,1268596,780158
2005,"SHAD, GIZZARD",1080.6,2382299,560669
2005,"SHAD, HICKORY",103.3,227799,56997
2005,"SHAD, THREADFIN",1.8,3873,4598
2005,SHADS (NK),0.1,174,94
2005,"SHARK, ATLANTIC SHARPNOSE",245.3,540763,215825
2005,"SHARK, BIGEYE THRESHER",8.8,19506,5909
2005,"SHARK, BLACKNOSE",45.4,100198,45477
2005,"SHARK, BLACKTIP",611.6,1348241,419055
2005,"SHARK, BLUE",0.2,339,273
2005,"SHARK, BONNETHEAD",20.9,46167,22223
2005,"SHARK, BULL",39.9,87884,28727
2005,"SHARK, DOGFISH",93.8,206814,45671
2005,"SHARK, DUSKY",0,14,8
2005,"SHARK, FINETOOTH",51.7,114032,61143
2005,"SHARK, HAMMERHEAD",123.5,272349,70613
2005,"SHARK, LEMON",31,68447,22721
2005,"SHARK, LEOPARD",12.9,28514,19899
2005,"SHARK, MAKOS",108.4,238997,111583
2005,"SHARK, PACIFIC ANGEL",11.6,25496,14030
2005,"SHARK, PORBEAGLE",1,2137,3415
2005,"SHARK, SAND TIGER",0.2,354,143
2005,"SHARK, SANDBAR",768.5,1694227,515820
2005,"SHARK, SHORTFIN MAKO",136.2,300265,244405
2005,"SHARK, SILKY",1.9,4276,1911
