Year,Species,Metric Tons,Pounds,Revenue
2007,ESCOLAR,3,6641,6877
2007,"FINFISHES, UNC GENERAL",164.9,363644,243547
2007,FLATFISH,5787.9,12759920,4187231
2007,"FLOUNDER, ARROWTOOTH",22425.7,49439807,3262709
2007,"FLOUNDER, PACIFIC, SANDDAB",187.6,413568,190772
2007,"FLOUNDER, STARRY",51.7,114029,48130
2007,"FLOUNDER,PACIFIC,SANDDAB",107.1,236024,104812
2007,"FLOUNDERS, RIGHTEYE",0.4,950,606
2007,GLASSEYE SNAPPER,1.9,4111,13619
2007,GOATFISHES,12,26479,94326
2007,"GREENLING, KELP",19.8,43729,200750
2007,GRENADIERS,128.4,283010,47262
2007,GROUPERS,10.6,23435,118207
2007,HAGFISHES,1291.4,2847056,1713083
2007,"HAKE, PACIFIC (WHITING)",206174.8,454532973,32603240
2007,"HALIBUT, CALIFORNIA",178.8,394152,1844518
2007,"HALIBUT, GREENLAND",1541,3397270,342059
2007,"HALIBUT, PACIFIC",31712.5,69913339,227089901
2007,"HERRING, PACIFIC",31447.2,69328604,15314994
2007,"HERRING, PACIFIC, ROE ON KELP",8.8,19405,6019
2007,JACK MACKEREL,631,1391207,143861
2007,"JACK, ALMACO",0.5,1027,1961
2007,"JACK, BLACK",0.2,436,702
2007,JACKS,13.5,29796,60126
2007,"JOBFISH, GREEN (UKU)",67.5,148899,473579
2007,LEATHER-BACK,0.1,278,472
2007,LEATHERJACKETS,0.3,760,1304
2007,LIMPETS,3.1,6794,58744
2007,LINGCOD,270,595162,665530
2007,"LOBSTER, BANDED SPINY",3.6,7845,92908
2007,"LOBSTER, CALIFORNIA SPINY",300.6,662644,6915601
2007,"LOBSTER, SLIPPER",0,4,28
2007,"MACKEREL, CHUB",5442.2,11997870,838582
2007,"MACKEREL, FRIGATE",0.1,137,172
2007,"MARLIN, BLACK",2.2,4770,6157
2007,"MARLIN, BLUE",338.9,747197,912757
2007,"MARLIN, STRIPED",282.7,623175,1108765
2007,MOLLUSKS,30.5,67299,206213
2007,"MULLET, STRIPED (LIZA)",4.6,10186,37232
