Stock,SciName,5yearPrice,region,source
Mackerel ICES Northeast Atlantic,Scomber scombrus ,1384,Europe (EU only),EUMOFA
Megrim ICES VIIIc-IXa,Lepidorhombus whiffiagonis,4296,Europe (EU only),EUMOFA
Nephrops ICES VII,Nephrops norvegicus,8135,Europe (EU only),EUMOFA
Nephrops ICES VIII,Nephrops norvegicus,12822,Europe (EU only),EUMOFA
Nephrops North Sea,Nephrops norvegicus,7361,Europe (EU only),EUMOFA
Nephrops West of Scotland,Nephrops norvegicus,7240,Europe (EU only),EUMOFA
Norway pout North Sea,Trisopterus esmarkii,226,Europe (EU only),EUMOFA
Sandeel North Sea,Ammodytes spp,258,Europe (EU only),EUMOFA
Sprat ICES Baltic Areas 22-32,Sprattus sprattus,217,Europe (EU only),EUMOFA
Sprat North Sea,Sprattus sprattus,254,Europe (EU only),EUMOFA
EU albacore tuna,Thunnus alalunga,5007,Europe (EU only),EUMOFA
EU bigeye tuna,Thunnus obesus,2971,Europe (EU only),EUMOFA
EU bluefin tuna,Thunnus thynnus,9673,Europe (EU only),EUMOFA
EU dogfish,Squalus acanthias,2000,Europe (EU only),EUMOFA
EU rays,Raja spp,2882,Europe (EU only),EUMOFA
EU skipjack tuna,Katsuwonus pelamis,2047,Europe (EU only),EUMOFA
EU swordfish,Xiphias gladius,9357,Europe (EU only),EUMOFA
EU toothfish,Dissostichus eleginoides,2635,Europe (EU only),EUMOFA
EU yellowfin tuna,Thunnus albacares,3001,Europe (EU only),EUMOFA
