Year,Species,Metric Tons,Pounds,Revenue,RegionFAO
2009,"SHARK, HAMMERHEAD",60.3,132855,15338,31
2009,"SHARK, LEMON",34.6,76387,15485,31
2009,"SHARK, SANDBAR",71.7,158067,33769,31
2009,"SHARK, SHORTFIN MAKO",7.2,15906,13369,31
2009,"SHARK, SILKY",2.2,4924,1267,31
2009,"SHARK, SPINNER",3,6660,2033,31
2009,"SHARK, TIGER",4.4,9638,3465,31
2009,SHARKS,402.6,887503,1164001,31
2009,SHEEPSHEAD,690.2,1521550,639488,31
2009,SHELLFISH,30.8,68002,220748,31
2009,"SHRIMP, BROWN",55745.8,122897163,142897236,31
2009,"SHRIMP, MARINE, OTHER",1184.5,2611454,11102465,31
2009,"SHRIMP, PINK",3426,7552930,13689572,31
2009,"SHRIMP, ROCK",158.9,350382,384391,31
2009,"SHRIMP, ROYAL RED",141.3,311518,836734,31
2009,"SHRIMP, SEABOB",236.1,520403,194308,31
2009,"SHRIMP, WHITE",52764.5,116324542,158496684,31
2009,"SNAPPER, BLACK",0,67,104,31
2009,"SNAPPER, BLACKFIN",0.7,1519,3452,31
2009,"SNAPPER, CUBERA",0.6,1308,2123,31
2009,"SNAPPER, DOG",0.5,1191,466,31
2009,"SNAPPER, GRAY",126.6,279028,540766,31
2009,"SNAPPER, LANE",16.9,37276,82078,31
2009,"SNAPPER, MUTTON",44.1,97258,215839,31
2009,"SNAPPER, QUEEN",10,22137,54824,31
2009,"SNAPPER, RED",1135.3,2502960,7983768,31
2009,"SNAPPER, SILK",30.6,67414,175181,31
2009,"SNAPPER, VERMILION",1722.2,3796752,8238528,31
2009,"SNAPPER, YELLOWTAIL",823.5,1815389,4253013,31
2009,SNAPPERS,4.9,10862,35599,31
2009,SPADEFISHES,11.4,25232,10130,31
2009,"SPONGE, GRASS",28,61805,69212,31
2009,"SPONGE, SHEEPSWOOL",40.2,88617,245742,31
2009,"SPONGE, YELLOW",23.3,51369,75778,31
2009,SPONGES,3.2,7119,3463,31
2009,SPOT,7.2,15830,7926,31
2009,SQUIDS,24.4,53684,23283,31
2009,SQUIRRELFISHES,0.1,177,204,31
2009,SUCKERS,12,26548,15287,31
2009,SWORDFISH,398.4,878302,1837134,31
2009,TILAPIAS,48.8,107620,54903,31
2009,"TILEFISH, BLUELINE",54.4,119990,97162,31
2009,"TILEFISH, GOLDEN",175.8,387579,553907,31
2009,"TILEFISH, GOLDFACE",11.7,25764,36630,31
2009,"TILEFISH, SAND",0,96,80,31
2009,"TRIGGERFISH, GRAY",8.8,19293,20244,31
2009,TRIPLETAIL,3.7,8196,8430,31
2009,"TUNA, ALBACORE",13.1,28830,28888,31
2009,"TUNA, BIGEYE",15.8,34816,133420,31
2009,"TUNA, BLACKFIN",6,13287,11438,31
2009,"TUNA, BLUEFIN",17.4,38253,141710,31
2009,"TUNA, LITTLE TUNNY",119.5,263478,86653,31
2009,"TUNA, SKIPJACK",0.2,344,124,31
2009,"TUNA, YELLOWFIN",1113.6,2455055,7774058,31
2009,TUNAS,1,2260,3653,31
2009,"TURTLE, SLIDERS",0.6,1308,2599,31
2009,"TURTLE, SNAPPING",0.1,136,553,31
2009,WAHOO,56.5,124597,141135,31
2009,WEAKFISH,0,48,81,31
2010,"AMBERJACK, GREATER",430.6,949218,979116,31
2010,"AMBERJACK, LESSER",12.5,27525,35947,31
2010,ANCHOVIES,29.8,65785,20008,31
2010,BALLYHOO,395.2,871167,645774,31
2010,BARRACUDAS,9.3,20531,16759,31
2010,BARRELFISH,7.6,16744,39137,31
2010,BIGEYE,0.1,251,267,31
2010,BLACK DRIFTFISH,1.4,3087,4959,31
2010,BLUEFISH,37.3,82123,29370,31
2010,"BONITO, ATLANTIC",0.8,1725,1317,31
2010,BOWFIN,89.9,198233,126456,31
2010,"BROTULA, BEARDED",2.1,4597,5910,31
2010,BUFFALOFISHES,1280,2821986,575114,31
2010,BUTTERFISH,79.7,175667,55967,31
2010,"CARP, COMMON",237.3,523184,54650,31
2010,"CARP, GRASS",45.6,100601,18408,31
2010,CARPS AND MINNOWS,8.9,19559,110211,31
2010,"CATFISH, BLUE",1093.5,2410668,1128698,31
2010,"CATFISH, CHANNEL",238.4,525492,294585,31
2010,"CATFISH, FLATHEAD",115.6,254835,126637,31
2010,CATFISHES & BULLHEADS,5.7,12544,5473,31
2010,"CLAM, QUAHOG",70.6,155735,1002064,31
2010,COBIA,41.5,91430,289836,31
2010,"CRAB, BLUE",18624.5,41059678,40481758,31
2010,"CRAB, BLUE, PEELER",54.2,119451,316026,31
2010,"CRAB, BLUE, SOFT",5.3,11695,70483,31
2010,"CRAB, BLUE, SOFT AND PEELER",22.3,49111,395746,31
2010,"CRAB, FLORIDA STONE CLAWS",2318.7,5111808,23383926,31
2010,CRAYFISHES OR CRAWFISHES,6603.2,14557411,13970962,31
2010,"CROAKER, ATLANTIC",66.6,146866,566465,31
2010,"CUTLASSFISH, ATLANTIC",3.6,7877,8493,31
2010,DOLPHINFISH,51.2,112790,187366,31
2010,"DRUM, BLACK",2079.8,4585077,3923776,31
2010,"DRUM, FRESHWATER",242.9,535488,85750,31
2010,"DRUM, RED",16.5,36444,64619,31
2010,DRUMS,0.9,2066,1070,31
2010,"EELS, SNAKE",0,42,66,31
2010,ESCOLAR,37.3,82256,57680,31
2010,"FINFISHES, UNC BAIT AND ANIMAL FOOD",1004.9,2215385,388237,31
2010,"FINFISHES, UNC FOR FOOD",5,11054,7386,31
2010,"FINFISHES, UNC GENERAL",271,597507,525014,31
2010,FLATFISH,86.4,190446,463703,31
2010,"FLOUNDER, SOUTHERN",36.8,81073,139522,31
2010,FROGS,1.4,3016,6341,31
2010,GAG,264.9,584065,2111430,31
2010,GARS,231.6,510508,428966,31
2010,GRAYSBY,0.1,258,705,31
2010,"GROUPER, BLACK",26.6,58618,197474,31
2010,"GROUPER, RED",1582.6,3488974,8995270,31
2010,"GROUPER, SNOWY",60.5,133333,371207,31
2010,"GROUPER, WARSAW",28.6,63065,137597,31
2010,"GROUPER, YELLOWEDGE",244.5,539009,1758519,31
2010,"GROUPER, YELLOWFIN",0.5,1036,2879,31
2010,GROUPERS,1,2171,5156,31
2010,GRUNTS,113.7,250591,211174,31
2010,"HAKE, ATLANTIC, RED/WHITE",1.1,2365,2396,31
2010,"HERRING, ATLANTIC THREAD",526.5,1160632,181476,31
2010,HERRINGS,388.6,856719,191524,31
2010,"HIND, RED",0.6,1391,2958,31
2010,"HIND, ROCK",0.1,150,413,31
2010,"HIND, SPECKLED",8.2,18024,45166,31
2010,HOGFISH,18.8,41404,138395,31
2010,"JACK, ALMACO",15.9,35110,35302,31
2010,"JACK, BAR",18.2,40133,38046,31
2010,"JACK, CREVALLE",136.2,300322,206386,31
2010,JACKS,36.3,80091,47230,31
2010,KING WHITING,18.7,41222,35729,31
2010,LADYFISH,661.9,1459153,745334,31
2010,LEATHERJACKETS,20.5,45240,66761,31
2010,"LOBSTER, CARIBBEAN SPINY",2397.5,5285518,32747069,31
2010,"LOBSTER, SLIPPER",0.7,1441,5105,31
2010,LOOKDOWN,0.3,648,302,31
2010,"MACKEREL, KING",358.1,789522,1314347,31
2010,"MACKEREL, KING AND CERO",711,1567401,1934626,31
2010,"MACKEREL, SPANISH",576.6,1271178,846809,31
2010,MANTIS SHRIMPS,1.1,2508,6935,31
2010,MARGATE,2.2,4828,4668,31
2010,MENHADEN,341758.9,753441625,51749829,31
2010,MOJARRAS,105.5,232685,180790,31
2010,"MULLET, STRIPED (LIZA)",3899,8595736,4917484,31
2010,"MULLET, WHITE",139,306482,123133,31
2010,MULLETS,27.5,60707,180736,31
2010,OCTOPUS,10.4,22957,27153,31
2010,OILFISH,3.4,7556,7741,31
2010,"OYSTER, EASTERN",7177.9,15824477,55084740,31
2010,PARROTFISHES,0.6,1266,1362,31
2010,PERMIT,1.7,3747,4627,31
2010,PIGFISH,3.9,8560,69578,31
2010,PINFISH,103.6,228321,190853,31
2010,"POMPANO, AFRICAN",0.7,1641,3056,31
2010,"POMPANO, FLORIDA",37.8,83248,290743,31
2010,"PORGY, JOLTHEAD",4.2,9311,6083,31
2010,"PORGY, KNOBBED",0.9,2001,2217,31
2010,"PORGY, RED",79.8,175830,207662,31
2010,PUFFERS,1.5,3384,2008,31
2010,"RAY,STINGRAYS",1,2294,2654,31
2010,"ROSEFISH, BLACKBELLY",0.5,1132,972,31
2010,"RUDDERFISH, BANDED",5.5,12093,10504,31
2010,"RUNNER, BLUE",48.2,106330,82565,31
2010,"SARDINE, SPANISH",907.1,1999817,294439,31
2010,"SCAD, BIGEYE",47.6,104991,45490,31
2010,SCADS,295.9,652263,428491,31
2010,SCAMP,84.1,185336,640765,31
2010,"SCORPIONFISH, SPINYCHEEK",0.1,244,272,31
2010,SCORPIONFISHES,1.3,2941,3138,31
2010,SCUPS OR PORGIES,105.4,232292,265609,31
2010,"SEA BASS, BLACK",78.3,172525,159644,31
2010,"SEA BASS, ROCK",15.2,33552,38183,31
2010,SEA CATFISHES,1.3,2919,921,31
2010,"SEATROUT, SAND",39.4,86891,56819,31
2010,"SEATROUT, SPOTTED",25,55060,122812,31
2010,"SHAD, GIZZARD",143.7,316872,89457,31
2010,"SHARK, BLACKNOSE",0.2,364,118,31
2010,"SHARK, BLACKTIP",6.2,13634,4408,31
2010,"SHARK, BULL",28.2,62062,18599,31
2010,"SHARK, HAMMERHEAD",26,57231,15739,31
2010,"SHARK, LEMON",11.5,25338,7715,31
2010,"SHARK, SANDBAR",28.4,62540,21366,31
2010,"SHARK, SHORTFIN MAKO",3.2,7084,6221,31
2010,"SHARK, SPINNER",0.3,681,266,31
2010,SHARKS,555.3,1224229,998494,31
2010,SHEEPSHEAD,612.1,1349417,610371,31
2010,SHELLFISH,6.6,14629,42631,31
2010,"SHRIMP, BROWN",32971.5,72689003,136115037,31
2010,"SHRIMP, FW ",0.1,251,1323,31
2010,"SHRIMP, MARINE, OTHER",1088.6,2399962,10301487,31
2010,"SHRIMP, PINK",4463.3,9839827,17932931,31
2010,"SHRIMP, ROCK",355.7,784194,1026566,31
2010,"SHRIMP, ROYAL RED",117.3,258687,716739,31
2010,"SHRIMP, SEABOB",489.3,1078665,396829,31
2010,"SHRIMP, WHITE",41662.4,91848989,172730266,31
2010,"SNAPPER, BLACK",0,47,178,31
2010,"SNAPPER, BLACKFIN",0.7,1635,3794,31
2010,"SNAPPER, CUBERA",0.5,1133,1744,31
2010,"SNAPPER, DOG",0.2,360,352,31
2010,"SNAPPER, GRAY",99.9,220347,502013,31
2010,"SNAPPER, LANE",8.7,19160,46497,31
2010,"SNAPPER, MUTTON",45.2,99639,218169,31
2010,"SNAPPER, QUEEN",6.7,14878,44563,31
2010,"SNAPPER, RED",1478.3,3259140,10202194,31
2010,"SNAPPER, SILK",20.4,44956,132457,31
2010,"SNAPPER, VERMILION",957.3,2110481,5085323,31
2010,"SNAPPER, YELLOWTAIL",681.5,1502499,3862358,31
2010,SNAPPERS,1.3,2810,6725,31
2010,SPADEFISHES,7.1,15656,7123,31
2010,"SPONGE, GRASS",16.2,35819,50854,31
2010,"SPONGE, SHEEPSWOOL",45.9,101225,296984,31
2010,"SPONGE, YELLOW",38.7,85348,105370,31
