Stock,SciName,wt_mean_sp_price,NumStocks,FiveYr_mean_stockprice,yrs
Atlantic cod West of Scotland,Gadus morhua,2775.596602,14,3970.680914,2007-2011
Atlantic Cod Celtic Sea,Gadus morhua,2775.596602,14,4108.963834,2007-2011
EBS snow crab,Chionoecetes opilio,3226.381612,6,3590.903876,2008-2012
"Nova Scotia Crab, Queen",Chionoecetes opilio,3226.381612,6,3752.405521,2006-2010
"New Brunswick Crab, Queen",Chionoecetes opilio,3226.381612,6,3748.035638,2006-2010
"PEI Crab, Queen",Chionoecetes opilio,3226.381612,6,3697.615343,2006-2010
"Quebec Crab, Queen",Chionoecetes opilio,3226.381612,6,3115.690391,2006-2010
"Newfoundland Crab, Queen",Chionoecetes opilio,3226.381612,6,2789.707085,2006-2010
CCod/GoMaine yellowtail flounder,Limanda ferruginea,3441.432677,3,3439.2014,2006-2010
GeBank yellowtail flounder TRAC,Limanda ferruginea,3441.432677,3,3439.2014,2006-2010
sNEng/midAtl yellowtail flounder,Limanda ferruginea,3441.432677,3,3448.672,2006-2010
GoMex king mackerel,Scomberomorus cavalla,3696.10148,2,3388.246,2007-2011
sAtl king mackerel,Scomberomorus cavalla,3696.10148,2,4061.578,2007-2011
Hake Northeast Atlantic North,Merluccius merluccius ,3904.63686,2,3858.045346,2007-2011
Hake Northeast Atlantic South,Merluccius merluccius ,3904.63686,2,4173.941998,2007-2011
GeBank winter flounder,Pseudopleuronectes americanus,4250.232737,3,4247.136,2006-2010
GoMaine winter flounder,Pseudopleuronectes americanus,4250.232737,3,4247.136,2006-2010
sNEng/midAtl winter flounder,Pseudopleuronectes americanus,4250.232737,3,4254.424,2006-2010
USWC black rockfish (northern),Sebastes melanops,4374.679145,2,4374.679145,2008-2012
USWC black rockfish (southern),Sebastes melanops,4374.679145,2,4374.679145,2008-2012
GeBank/midAtl sea scallop,Placopecten magellanicus,5277.001669,6,15169.918,2006-2010
Nova Scotia Scallop,Placopecten magellanicus,5277.001669,6,1240.573451,2006-2010
New Brunswick Scallop,Placopecten magellanicus,5277.001669,6,1732.036048,2006-2010
PEI Scallop,Placopecten magellanicus,5277.001669,6,1848.554932,2006-2010
Quebec Scallop,Placopecten magellanicus,5277.001669,6,1601.406661,2006-2010
Newfoundland Scallop,Placopecten magellanicus,5277.001669,6,1392.357187,2006-2010
USNE golden tilefish,Lopholatilus chamaeleonticeps,5319.272319,3,5547.3978,2006-2010
GoMex golden tilefish,Lopholatilus chamaeleonticeps,5319.272319,3,3988.4722,2007-2011
sAtl golden tilefish,Lopholatilus chamaeleonticeps,5319.272319,3,5431.406,2007-2011
SE Alaska dungeness crab,Cancer magister,5522.973386,5,4589.183918,2008-2012
CA dungeness crab,Cancer magister,5522.973386,5,5440.014,2008-2012
OR dungeness crab,Cancer magister,5522.973386,5,5324.7894,2008-2012
WA dungeness crab,Cancer magister,5522.973386,5,6215.3742,2008-2012
BC dungeness crab,Cancer magister,5522.973386,5,4961.587234,2004-2008
GoMex vermilion snapper,Rhomboplites aurorubens,5609.246205,2,5180.92,2007-2011
sAtl vermilion snapper,Rhomboplites aurorubens,5609.246205,2,6405.592,2007-2011
GoMex red grouper,Epinephelus morio,5615.636685,2,5552.9224,2007-2011
