Species_AFSIS
Aba
Common periwinkle
Common prawn
Common shrimp
Common silver-biddy
Common snook
Common sole
Common spiny lobster
Common squids nei
Common stingray
Common two-banded seabream
Common warehou
Coney
"Conger eels, etc. nei"
Congo dentex
Coonstripe shrimp
Copper shark
Coral hind
Corkwing wrasse
Cornetfish
Corvina drum
Cownose ray
Crangonid shrimps nei
"Craylets, squat lobsters"
Creole wrasse
Crested bellowfish
Crevalle jack
Croakers nei
"Croakers, drums nei"
Crocodile icefishes nei
Crocodile shark
Crucian carp
Crystal shrimp
Cubera snapper
Cuckoo ray
Cunene horse mackerel
Cunner
Cupped oysters nei
Curlfin sole
Cusk-eels nei
"Cusk-eels, brotulas nei"
"Cuttlefish, bobtail squids nei"
Cyprinids nei
Dagaas
Daggerhead breams nei
Daggertooth pike conger
Dana swimcrab
Danube bleak
Danube crayfish
Danube sturgeon(=Osetr)
Dark ghost shark
Dark-belly skate
Darkblotched rockfish
Dealfish
Dealfishes
Deep-sea red crab
Deep-sea smelt
Deep-water rose shrimp
Delicate scallop
Delta prawn
Demersal percomorphs nei
Dentex nei
Devil anglerfish
Devil fish
Diadromous clupeoids nei
Diamond back terrapins
Dogfish sharks nei
"Dogfish sharks, etc. nei"
Dogfishes and hounds nei
Dogfishes nei
Dogtooth grenadier
Dogtooth grouper
Dogtooth tuna
Donax clams
Dorab wolf-herring
Dorado
Dories nei
Dotted gizzard shad
Doublespotted queenfish
Dover sole
Draughtsboard shark
Duckbill barracudina
Duckbill catfish
Dungat grouper
Dungeness crab
Dusky catshark
Dusky grouper
Dusky shark
Dusky smooth-hound
Eagle rays nei
Eastern Pacific bonito
Eaton's skate
Echinoderms
Edible crab
Eelpout
Eelpouts
Eeltail catfishes
Electric catfish
Electron subantarctic
"Elephantfishes, etc. nei"
Elephantsnout fishes nei
Elongate ilisha
Elongate tigerfish
Emperors(=Scavengers) nei
Endeavour shrimp
English sole
Escolar
Eulachon
Euro-American crayfishes nei
European anchovy
European barracuda
European conger
European edible sea urchin
European eel
European flat oyster
European flounder
European flying squid
European hake
European lobster
European perch
European pilchard(=Sardine)
European plaice
European seabass
European smelt
European sprat
European squid
European whitefish
Eyespot skate
Falkland sprat
False abalone
False scad
