"","Country","Stocks","TotalMSY","TotalCatch","MedianB","MedianF","PercBvBmsyBelowOne","PercFvFmsyAboveOne","NeiCatch","NeiStocks","FaoCatch","FaoFisheries","PercCatchCovered","PercFisheriesCovered"
"102","Mauritius",17,4197.59225670384,4039,0.74377252123226,1.19218856413545,64.7058823529412,58.8235294117647,3770,10,6403,30,63.0798063407778,56.6666666666667
"142","Samoa",4,3896.66453276106,2277,1.13739141793538,0.513689283515468,50,0,0,1,12094,15,18.8275177774103,26.6666666666667
"91","Lebanon",15,3850.54914739256,2820,0.728047722926873,1.03972412318217,80,60,2788,13,3541,20,79.6385201920361,75
"167","Trinidad and Tobago",15,3597.56656449444,2501.50588928151,0.706590645097778,1.12285886287717,80,60,1321,7,11986,39,20.8702310135283,38.4615384615385
"143","Sao Tome and Principe",20,3545.66327812829,3135,0.876831393185837,0.893092587143501,65,45,1445,11,5300,35,59.1509433962264,57.1428571428571
"89","Kuwait",14,3531.88862504539,2790,0.934244713211539,1.13684910084312,50,64.2857142857143,2140,8,4500,23,62,60.8695652173913
"1","Albania",31,3437.56533508698,2290,0.734803530349268,0.785344463851962,67.741935483871,38.7096774193548,719,15,3461,67,66.1658480208032,46.2686567164179
"67","Guadeloupe",3,3139.70069429905,2530,0.752706164983168,0.950388821900926,66.6666666666667,33.3333333333333,1750,1,11100,8,22.7927927927928,37.5
"114","New Caledonia",12,3007.03775684711,2659,0.678304219612123,0.841778297311289,66.6666666666667,41.6666666666667,811,8,3580,26,74.2737430167598,46.1538461538462
"135","Reunion",15,2709.19546897732,2598,0.977695278869094,0.961593446491387,53.3333333333333,46.6666666666667,163,5,2693,37,96.4723356851095,40.5405405405405
"26","Channel Islands",20,2650.94075053235,2576,0.749223735368544,0.978189633968176,75,45,165,3,2955,65,87.1742808798646,30.7692307692308
"42","Djibouti",7,2224.09127859473,1756,0.710622601619998,1.19265047250026,100,71.4285714285714,1756,7,2167,14,81.0336871250577,50
"127","Papua New Guinea",11,2168.63147997619,1794,0.657277069687091,0.721963148131192,63.6363636363636,45.4545454545455,272,3,243508,20,0.736731442088145,55
"22","Cabo Verde",5,2101.28869934008,2396,0.908602599359226,1.54826646106124,80,80,7,2,20189,26,11.86784882857,19.2307692307692
"125","Palestine",21,1906.49432301131,1397,0.727493022207203,1.28654950902585,71.4285714285714,71.4285714285714,1253,15,2091,25,66.8101386896222,84
"149","Singapore",26,1865.12564263966,1404,0.708606623358888,1.10234105759968,69.2307692307692,53.8461538461538,1334,23,1969,40,71.3052310817674,65
"88","Kiribati",10,1862.70119550116,1711,0.746103964659727,1.26729249473444,80,60,1685,8,82541,27,2.07290922087205,37.037037037037
"98","Malta",29,1765.31860587324,966,1.04185602983968,0.816166148163103,48.2758620689655,27.5862068965517,241,12,2201,104,43.8891412994094,27.8846153846154
"152","Somalia",2,1298.35055037701,1100,1.02013527138181,1.15690718654047,50,50,1100,2,29800,3,3.69127516778524,66.6666666666667
"81","Israel",17,1291.23962680573,934,0.742057758847001,1.03461502392284,88.2352941176471,52.9411764705882,322,7,2188,79,42.6873857404022,21.5189873417722
"66","Grenada",23,1278.02260150391,1032.77218296035,0.759132478535327,1.00957926911964,65.2173913043478,56.5217391304348,387,12,2255,47,45.7992098873767,48.936170212766
