,IdOrig,SciName,CommName,Country,Year,Policy,Dbase,IdLevel,BvBmsy,FvFmsy,Catch,MSY,Profits,Biomass,Price,MarginalCost,SpeciesCatName,RegionFAO
374727,FAJ-JMACKPJPN-1982-2009-ONO,Trachurus japonicus,Jack mackerel Pacific Coast of Japan,Japan,2012,Historic,RAM,Species,0.114,1.68,26000,135602.7116,-14877771.12,67962.24,353.1318655,83987500.75,Miscellaneous pelagic fishes,61
374767,FAJ-JMACKTSST-1973-2010-ONO,Trachurus japonicus,Japanese jack mackerel Tsushima Strait,Japan,2012,Historic,RAM,Species,0.733,1.06,148000,190278.5791,33663626.72,456199.0497,353.1318655,80236511.67,Miscellaneous pelagic fishes,61
374790,FAJ-OFLOUNPAC-1990-2009-ONO,Paralichthys olivaceus,Olive flounder Pacific Ocean,Japan,2012,Historic,RAM,Species,0.875,1.57,3300,2404.999613,6503982.597,6282.90856,2959.278087,7548077.408,"Flounders, halibuts, soles",61
374816,FAJ-OFLOUNSETO-1987-2010-ONO,Paralichthys olivaceus,flounder Inland Sea of Japan,Japan,2012,Historic,RAM,Species,0.79,1,761,959.3448982,1516433.001,1955.183787,2959.278087,2490052.881,"Flounders, halibuts, soles",61
374860,FAJ-RBRMECS-1969-2010-ONO,Pagrus major,Red seabream East China Sea,Japan,2012,Historic,RAM,Species,0.578,1.51,5840,6697.803191,8307734.457,17535.62592,2847.466768,34774187.54,Miscellaneous coastal fishes,61
374896,FAJ-RBRMSETOE-1977-2010-ONO,Pagrus major,Red seabream Inland Sea of Japan (East),Japan,2012,Historic,RAM,Species,0.428,1.91,2060,2522.57718,1609729.083,5306.190934,2847.466768,14562392.73,Miscellaneous coastal fishes,61
374932,FAJ-RBRMSETOW-1977-2010-ONO,Pagrus major,Red seabream Inland Sea of Japan (West),Japan,2012,Historic,RAM,Species,0.99,0.815,2270,2815.362322,4896119.156,8619.029811,2847.466768,8899284.665,Miscellaneous coastal fishes,61
374969,FAJ-RHERRTSST-1976-2010-ONO,Etrumeus teres,Round herring Tsushima Strait,Japan,2012,Historic,RAM,Species,0.895,0.813,22700,23425.46243,4351394.314,72433.19765,349.062214,10484119.8,"Herrings, sardines, anchovies",61
375002,FAJ-SAURNWPAC-1980-2010-ONO,Cololabis saira,Pacific saury Northwest Pacific,Japan,2012,Historic,RAM,Species,1.55,0.0754,193000,1654095.012,196235388.2,2172890.077,1098.616699,374957905.5,Miscellaneous pelagic fishes,61
375028,FAJ-SPANMACKSETO-1987-2010-ONO,Scomberomorus niphonius,Japanese Spanish mackerel Inland Sea of Japan,Japan,2012,Historic,RAM,Species,0.457,1.67,1440,1895.529146,485523.2541,4609.691487,967.0857769,4121115.561,"Tunas, bonitos, billfishes",61
375050,HAWG-HERR2224IIIa-1991-2011-NEUBAUER,Clupea harengus,Herring ICES 22-24-IIIa,Multinational,2012,Historic,RAM,Species,1.49,1.21,42200,15920.96932,5053570.288,163900,215.1825419,10814669.47,"Herrings, sardines, anchovies",27
