Year,BvBmsy,FvFmsy,Catch,RAM
2012,0.618930024335227,1.80057095759985,1532,FALSE
2012,0.683329787156172,2.54309020907473,401,FALSE
2012,0.58471810653185,2.07100610502955,1056,FALSE
2012,0.779996615400709,0.400761488041897,1,FALSE
2012,0.798450903226108,3.54437212142523,38,FALSE
2012,0.387390833139308,9.85096887421835,3,FALSE
2012,0.594037864977412,0.586042009706832,1,FALSE
2012,0.353128923054179,0.881256458837671,417,FALSE
2012,1.7932168883151,0.210148924658236,21,FALSE
2012,0.564793139746183,1.5072789403712,42135,FALSE
2012,0.920064880983946,0.781947191796337,20541,FALSE
2012,0.69693242008378,0.678410488107903,3,FALSE
2012,0.499637294534648,1.61009330846174,304,FALSE
2012,0.826365562530712,0.291134713836565,27,FALSE
2012,0.871838131008208,1.78668239259209,148,FALSE
2012,0.479293000630333,0.131409640527905,1,FALSE
2012,0.736993756836231,2.15199098484337,2369,FALSE
2012,0.4767425842985,2.7721108375122,8451,FALSE
2012,0.408100552455249,0.387330342328064,811,FALSE
2012,1.84672780220407,0.391481516918245,2295,FALSE
2012,0.702610792143547,1.9888137119825,1312,FALSE
2012,1.90094703068617,0.599998408992343,497462,FALSE
2012,0.905292982268561,0.217891824641923,33,FALSE
2012,0.976928934104107,0.942311268400845,780,FALSE
2012,0.570505731214604,0.946292870354632,4057,FALSE
2012,1.93044775765015,0.757329175212166,20484,FALSE
2012,0.453987094423379,0.962921101781178,1476,FALSE
2012,0.460875217052178,3.71678845645252,14896,FALSE
2012,1.88175156424922,0.575940224624665,590,FALSE
2012,0.554463268920579,1.1148364068006,1550,FALSE
2012,0.792189654161466,1.07753214994933,2838,FALSE
2012,0.986739778481567,0.325713645754456,84,FALSE
2012,0.536565260461677,0.00044889953960562,161,FALSE
2012,1.9308429745186,0.182085114832639,857,FALSE
2012,1.27563422479494,0.668465470392039,756,FALSE
2012,1.23349719756863,0.931668439905047,26066,FALSE
2012,1.96201610974748,0.277853585021517,1131,FALSE
2012,0.823425610665613,3.41537540150713,864,FALSE
2012,0.27304091561784,0.156137539260938,26,FALSE
2012,1.92643563652778,0.236588808868204,1104,FALSE
2012,0.803243278074,1.56294851001562,1447,FALSE
2012,0.529573687832353,4.97303362224184,1438,FALSE
2012,0.929740532273773,0.601671843754117,248,FALSE
2012,1.95116028052141,0.341598928522434,16321,FALSE
2012,0.664287404346246,0.490104033233545,7186,FALSE
